"editionID","titleID","mediaID","publicationDate","imageName","ASIN","textLinkShort","textLinkFull","imageLinkSmall","imageLinkMedium","imageLinkLarge","textImageLink","active","createdAt","updatedAt"
11,11,1,NULL,"/novels/DrFuturity.jpg",NULL,"https://amzn.to/2rC2f1e",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
12,12,1,NULL,"/novels/EyeInTheSky.jpg",NULL,"https://amzn.to/2KeBu9S",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
13,13,1,NULL,"/novels/FlowMyTearsThePolicemanSaid.jpg",NULL,"https://amzn.to/2wxEn3z",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
14,14,1,NULL,"/novels/GalacticPotHealer.jpg",NULL,"https://amzn.to/2KirVa5",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
15,15,1,NULL,"/novels/TheGamePlayersOfTitan.jpg",NULL,"https://amzn.to/2rASFLR",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
16,16,1,NULL,"/novels/GatherYourselvesTogether.jpg",NULL,"https://amzn.to/2rDu3Bh",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
17,17,1,NULL,"/novels/HumptyDumptyInOakland.jpg",NULL,"https://amzn.to/2G7p419",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
18,18,1,NULL,"/novels/InMiltonLumkyTerritory.jpg",NULL,"https://amzn.to/2wvIvRy",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
19,19,1,NULL,"/novels/LiesInc.jpg",NULL,"https://amzn.to/2rxIffg",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
20,20,1,NULL,"/novels/TheManInTheHighCastle.jpg",NULL,"https://amzn.to/2IfczCy",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
21,21,1,NULL,"/novels/TheManWhoJaped.jpg",NULL,"https://amzn.to/2rzJPOI",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
22,22,1,NULL,"/novels/TheManWhoseTeethWereAllExactlyAlike.jpg",NULL,"https://amzn.to/2wyVphV",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
23,23,1,NULL,"/novels/MartianTimeSlip.jpg",NULL,"https://amzn.to/2rCE1Dg",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
24,24,1,NULL,"/novels/MaryAndTheGiant.jpg",NULL,"https://amzn.to/2G9KaMf",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
25,25,1,NULL,"/novels/AMazeOfDeath.jpg",NULL,"https://amzn.to/2KirIno",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
26,26,1,NULL,"/novels/NickAndTheGlimmung.jpg",NULL,"https://amzn.to/2KbQNA0",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
27,27,1,NULL,"/novels/NowWaitForLastYear.jpg",NULL,"https://amzn.to/2jOORCr",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
28,28,1,NULL,"/novels/OurFriendsFromFrolix8.jpg",NULL,"https://amzn.to/2rAdHKI",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
29,29,1,NULL,"/novels/ThePenultimateTruth.jpg",NULL,"https://amzn.to/2IcgsIp",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
30,30,1,NULL,"/novels/PutteringAboutInASmallLand.jpg",NULL,"https://amzn.to/2KcP8uk",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
31,31,1,NULL,"/novels/RadioFreeAlbemuth.jpg",NULL,"https://amzn.to/2rAkUJK",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
32,32,1,NULL,"/novels/AScannerDarkly.jpg",NULL,"https://amzn.to/2rDVxXL",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
33,33,1,NULL,"/novels/TheSimulacra.jpg",NULL,"https://amzn.to/2KURQFT",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
34,34,1,NULL,"/novels/SolarLottery.jpg",NULL,"https://amzn.to/2KgKIT7",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
35,35,1,NULL,"/novels/TheThreeStigmataOfPalmerEldritch.jpg",NULL,"https://amzn.to/2IeXC3p",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
36,36,1,NULL,"/novels/TimeOutOfJoint.jpg",NULL,"https://amzn.to/2IeXMrx",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
37,37,1,NULL,"/novels/TheTransmigrationOfTimothyArcher.jpg",NULL,"https://amzn.to/2rBYusq",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
38,38,1,NULL,"/novels/Ubik.jpg",NULL,"https://amzn.to/2I7ZtLf",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
39,39,1,NULL,"/novels/UbikTheScreenplay.jpg",NULL,"https://amzn.to/2G9ntYv",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
40,40,1,NULL,"/novels/VALIS.jpg",NULL,"https://amzn.to/2KisRLI",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
41,41,1,NULL,"/novels/VoicesFromTheStreet.jpg",NULL,"https://amzn.to/2rCmECA",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
42,42,1,NULL,"/novels/VulcansHammer.jpg",NULL,"https://amzn.to/2rI7YSv",NULL,NULL,NULL,NULL,NULL,True,"2020-10-18 23:11:32.860214-04","2020-10-18 23:11:32.860214-04"
