"titleID","titleName","titleSort","authorFirstName","authorLastName","publicationDate","imageName","categoryID","shortDescription","urlPKDweb","active","createdAt","updatedAt"
26,"Nick and the Glimmung","nick and the glimmung","Philip K.","Dick","1988-01-01 00:00:00-05","https://philipdick.com/images/covers/NickAndTheGlimmung.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
27,"Now Wait for Last Year","now wait for last year","Philip K.","Dick","1966-01-01 00:00:00-05","https://philipdick.com/images/covers/NowWaitForLastYear.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
28,"Our Friends from Frolix 8","our friends from frolix 8","Philip K.","Dick","1970-01-01 00:00:00-05","https://philipdick.com/images/covers/OurFriendsFromFrolix8.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
29,"The Penultimate Truth","penultimate truth, the","Philip K.","Dick","1964-01-01 00:00:00-05","https://philipdick.com/images/covers/ThePenultimateTruth.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
30,"Puttering About in a Small Land","puttering about in a small land","Philip K.","Dick","1985-01-01 00:00:00-05","https://philipdick.com/images/covers/PutteringAboutInASmallLand.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
31,"Radio Free Albemuth","radio free albemuth","Philip K.","Dick","1985-01-01 00:00:00-05","https://philipdick.com/images/covers/RadioFreeAlbemuth.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
32,"A Scanner Darkly","scanner darkly, a","Philip K.","Dick","1977-01-01 00:00:00-05","https://philipdick.com/images/covers/AScannerDarkly.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
33,"The Simulacra","simulacra, the","Philip K.","Dick","1964-01-01 00:00:00-05","https://philipdick.com/images/covers/TheSimulacra.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
34,"Solar Lottery","solar lottery","Philip K.","Dick","1955-01-01 00:00:00-06","https://philipdick.com/images/covers/SolarLottery.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
35,"The Three Stigmata of Palmer Eldritch","three stigmata of palmer eldritch, the","Philip K.","Dick","1965-01-01 00:00:00-05","https://philipdick.com/images/covers/TheThreeStigmataOfPalmerEldritch.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
36,"Time Out of Joint","time out of joint","Philip K.","Dick","1959-01-01 00:00:00-05","https://philipdick.com/images/covers/TimeOutOfJoint.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
37,"The Transmigration of Timothy Archer","transmigration of timothy archer, the","Philip K.","Dick","1982-01-01 00:00:00-05","https://philipdick.com/images/covers/TheTransmigrationOfTimothyArcher.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
38,"Ubik","ubik","Philip K.","Dick","1969-01-01 00:00:00-05","https://philipdick.com/images/covers/Ubik.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
